iter	Passed	Remaining
0	6	6308
1	11	5805
2	17	5855
3	23	5958
4	29	5938
5	35	5916
6	41	5885
7	47	5916
8	54	5961
9	60	5986
10	66	6015
11	72	5991
12	79	6011
13	85	6008
14	91	6034
15	97	6024
16	104	6019
17	110	6012
18	116	5998
19	122	6015
20	129	6037
21	135	6041
22	142	6045
23	148	6058
24	155	6056
25	161	6043
26	167	6037
27	173	6038
28	180	6031
29	186	6027
30	192	6018
31	198	6014
32	205	6016
33	212	6025
34	218	6033
35	225	6028
36	231	6020
37	238	6034
38	244	6026
39	250	6019
40	257	6017
41	263	6009
42	269	5993
43	275	5976
44	281	5976
45	287	5963
46	293	5956
47	300	5953
48	306	5951
49	312	5939
50	319	5939
51	325	5931
52	331	5930
53	338	5924
54	344	5925
55	351	5917
56	357	5907
57	363	5896
58	369	5891
59	375	5882
60	382	5883
61	388	5880
62	395	5876
63	401	5867
64	407	5864
65	414	5859
66	420	5858
67	427	5856
68	434	5862
69	440	5857
70	447	5849
71	453	5842
72	459	5832
73	465	5828
74	472	5825
75	478	5814
76	484	5803
77	490	5799
78	496	5792
79	503	5785
80	509	5776
81	515	5770
82	521	5757
83	527	5753
84	534	5749
85	539	5738
86	546	5739
87	553	5740
88	560	5734
89	566	5727
90	572	5720
91	579	5716
92	585	5706
93	591	5703
94	597	5694
95	605	5700
96	611	5692
97	617	5686
98	624	5681
99	631	5679
100	638	5684
101	645	5679
102	651	5678
103	658	5674
104	665	5676
105	672	5669
106	678	5663
107	685	5661
108	692	5661
109	699	5655
110	705	5652
111	712	5645
112	717	5634
113	724	5631
114	730	5622
115	736	5613
116	743	5609
117	749	5599
118	755	5591
119	761	5581
120	767	5576
121	774	5575
122	781	5572
123	788	5570
124	794	5562
125	801	5557
126	808	5555
127	814	5549
128	821	5545
129	828	5541
130	834	5534
131	840	5526
132	847	5525
133	853	5518
134	860	5511
135	867	5510
136	874	5506
137	880	5498
138	886	5493
139	892	5483
140	898	5475
141	905	5468
142	911	5465
143	917	5456
144	923	5447
145	929	5438
146	936	5436
147	943	5429
148	949	5425
149	957	5424
150	964	5422
151	970	5416
152	977	5410
153	984	5406
154	991	5406
155	998	5402
156	1005	5396
157	1012	5393
158	1019	5391
159	1026	5388
160	1033	5384
161	1039	5375
162	1046	5374
163	1052	5367
164	1058	5358
165	1065	5350
166	1071	5344
167	1078	5339
168	1084	5332
169	1091	5329
170	1098	5323
171	1104	5315
172	1110	5307
173	1116	5300
174	1122	5293
175	1129	5287
176	1135	5280
177	1141	5272
178	1148	5268
179	1155	5262
180	1162	5260
181	1169	5254
182	1175	5248
183	1182	5242
184	1188	5237
185	1195	5230
186	1201	5222
187	1207	5215
188	1214	5209
189	1220	5201
190	1225	5191
